	channels1	channels2	kernel_size1	kernel_size2	fc1	fc2	is_max_pool	activation	avg	max	min
10	6	16	5	5	200	100	True	elu	98.53	99.3	97.98
32	6	16	5	5	120	84	True	tanh	98.49	99.47	96.43
26	6	16	5	5	200	100	True	softsign	98.43	99.82	96.04
34	6	16	5	5	200	100	True	tanh	98.32	98.94	96.73
2	6	16	5	5	200	100	True	relu	98.29	99.82	96.33
12	6	16	7	3	120	84	True	elu	98.25	99.29	94.75
36	6	16	7	3	120	84	True	tanh	98.24	99.3	96.61
14	6	16	7	3	200	100	True	elu	98.21	99.08	95.64
24	6	16	5	5	120	84	True	softsign	98.17	99.03	96.63
0	6	16	5	5	120	84	True	relu	98.16	99.74	96.83
4	6	16	7	3	120	84	True	relu	98.12	99.03	96.83
38	6	16	7	3	200	100	True	tanh	98.08	99.38	97.03
11	6	16	5	5	200	100	False	elu	98.06	99.47	96.23
8	6	16	5	5	120	84	True	elu	98.01	99.74	95.59
30	6	16	7	3	200	100	True	softsign	97.91	99.3	95.91
3	6	16	5	5	200	100	False	relu	97.58	99.47	95.45
28	6	16	7	3	120	84	True	softsign	97.58	99.21	94.85
33	6	16	5	5	120	84	False	tanh	97.54	99.18	94.51
39	6	16	7	3	200	100	False	tanh	97.5	99.03	95.64
35	6	16	5	5	200	100	False	tanh	97.45	99.18	95.42
9	6	16	5	5	120	84	False	elu	97.42	98.94	94.95
7	6	16	7	3	200	100	False	relu	97.41	99.29	95.74
6	6	16	7	3	200	100	True	relu	97.26	99.82	91.27
25	6	16	5	5	120	84	False	softsign	97.25	98.85	94.85
13	6	16	7	3	120	84	False	elu	97.19	98.41	95.04
27	6	16	5	5	200	100	False	softsign	97.08	99.18	91.18
1	6	16	5	5	120	84	False	relu	97.06	99.08	94.4
37	6	16	7	3	120	84	False	tanh	96.9	99.03	94.7
15	6	16	7	3	200	100	False	elu	96.72	99.12	92.94
5	6	16	7	3	120	84	False	relu	96.65	99.3	93.38
29	6	16	7	3	120	84	False	softsign	96.57	98.16	93.95
31	6	16	7	3	200	100	False	softsign	96.24	99.03	92.17
20	6	16	7	3	120	84	True	sigmoid	94.28	97.45	90.81
18	6	16	5	5	200	100	True	sigmoid	94.16	98.78	89.8
16	6	16	5	5	120	84	True	sigmoid	93.58	98.27	89.0
22	6	16	7	3	200	100	True	sigmoid	93.15	97.86	88.71
19	6	16	5	5	200	100	False	sigmoid	91.86	98.27	85.33
17	6	16	5	5	120	84	False	sigmoid	91.6	97.44	85.31
23	6	16	7	3	200	100	False	sigmoid	91.43	98.06	84.08
21	6	16	7	3	120	84	False	sigmoid	90.75	97.76	83.86
40	6	16	5	5	120	84	True	hardshrink	11.35	100.0	0.0
41	6	16	5	5	120	84	False	hardshrink	11.35	100.0	0.0
42	6	16	5	5	200	100	True	hardshrink	11.35	100.0	0.0
43	6	16	5	5	200	100	False	hardshrink	11.35	100.0	0.0
44	6	16	7	3	120	84	True	hardshrink	11.35	100.0	0.0
45	6	16	7	3	120	84	False	hardshrink	11.35	100.0	0.0
46	6	16	7	3	200	100	True	hardshrink	11.35	100.0	0.0
47	6	16	7	3	200	100	False	hardshrink	11.35	100.0	0.0
