	channels1	channels2	channels3	kernel_size1	kernel_size2	kernel_size3	fc1	fc2	fc3	is_max_pool	activation	avg	max	min	ch_c	conv_c	fc_c
0	6	16	0	5	5	0	120	84	0	True	relu	98.16	99.74	96.83	2	2	2
1	6	16	0	5	5	0	120	84	0	False	relu	97.06	99.08	94.4	2	2	2
2	6	16	0	5	5	0	200	100	0	True	relu	98.29	99.82	96.33	2	2	2
3	6	16	0	5	5	0	200	100	0	False	relu	97.58	99.47	95.45	2	2	2
4	6	16	0	7	3	0	120	84	0	True	relu	98.12	99.03	96.83	2	2	2
5	6	16	0	7	3	0	120	84	0	False	relu	96.65	99.3	93.38	2	2	2
6	6	16	0	7	3	0	200	100	0	True	relu	97.26	99.82	91.27	2	2	2
7	6	16	0	7	3	0	200	100	0	False	relu	97.41	99.29	95.74	2	2	2
8	6	16	0	5	5	0	120	84	0	True	elu	98.01	99.74	95.59	2	2	2
9	6	16	0	5	5	0	120	84	0	False	elu	97.42	98.94	94.95	2	2	2
10	6	16	0	5	5	0	200	100	0	True	elu	98.53	99.3	97.98	2	2	2
11	6	16	0	5	5	0	200	100	0	False	elu	98.06	99.47	96.23	2	2	2
12	6	16	0	7	3	0	120	84	0	True	elu	98.25	99.29	94.75	2	2	2
13	6	16	0	7	3	0	120	84	0	False	elu	97.19	98.41	95.04	2	2	2
14	6	16	0	7	3	0	200	100	0	True	elu	98.21	99.08	95.64	2	2	2
15	6	16	0	7	3	0	200	100	0	False	elu	96.72	99.12	92.94	2	2	2
16	6	16	0	5	5	0	120	84	0	True	sigmoid	93.58	98.27	89.0	2	2	2
17	6	16	0	5	5	0	120	84	0	False	sigmoid	91.6	97.44	85.31	2	2	2
18	6	16	0	5	5	0	200	100	0	True	sigmoid	94.16	98.78	89.8	2	2	2
19	6	16	0	5	5	0	200	100	0	False	sigmoid	91.86	98.27	85.33	2	2	2
20	6	16	0	7	3	0	120	84	0	True	sigmoid	94.28	97.45	90.81	2	2	2
21	6	16	0	7	3	0	120	84	0	False	sigmoid	90.75	97.76	83.86	2	2	2
22	6	16	0	7	3	0	200	100	0	True	sigmoid	93.15	97.86	88.71	2	2	2
23	6	16	0	7	3	0	200	100	0	False	sigmoid	91.43	98.06	84.08	2	2	2
24	6	16	0	5	5	0	120	84	0	True	softsign	98.17	99.03	96.63	2	2	2
25	6	16	0	5	5	0	120	84	0	False	softsign	97.25	98.85	94.85	2	2	2
26	6	16	0	5	5	0	200	100	0	True	softsign	98.43	99.82	96.04	2	2	2
27	6	16	0	5	5	0	200	100	0	False	softsign	97.08	99.18	91.18	2	2	2
28	6	16	0	7	3	0	120	84	0	True	softsign	97.58	99.21	94.85	2	2	2
29	6	16	0	7	3	0	120	84	0	False	softsign	96.57	98.16	93.95	2	2	2
30	6	16	0	7	3	0	200	100	0	True	softsign	97.91	99.3	95.91	2	2	2
31	6	16	0	7	3	0	200	100	0	False	softsign	96.24	99.03	92.17	2	2	2
32	6	16	0	5	5	0	120	84	0	True	tanh	98.49	99.47	96.43	2	2	2
33	6	16	0	5	5	0	120	84	0	False	tanh	97.54	99.18	94.51	2	2	2
34	6	16	0	5	5	0	200	100	0	True	tanh	98.32	98.94	96.73	2	2	2
35	6	16	0	5	5	0	200	100	0	False	tanh	97.45	99.18	95.42	2	2	2
36	6	16	0	7	3	0	120	84	0	True	tanh	98.24	99.3	96.61	2	2	2
37	6	16	0	7	3	0	120	84	0	False	tanh	96.9	99.03	94.7	2	2	2
38	6	16	0	7	3	0	200	100	0	True	tanh	98.08	99.38	97.03	2	2	2
39	6	16	0	7	3	0	200	100	0	False	tanh	97.5	99.03	95.64	2	2	2
40	6	16	0	5	5	0	120	84	0	True	hardshrink	11.35	100.0	0.0	2	2	2
41	6	16	0	5	5	0	120	84	0	False	hardshrink	11.35	100.0	0.0	2	2	2
42	6	16	0	5	5	0	200	100	0	True	hardshrink	11.35	100.0	0.0	2	2	2
43	6	16	0	5	5	0	200	100	0	False	hardshrink	11.35	100.0	0.0	2	2	2
44	6	16	0	7	3	0	120	84	0	True	hardshrink	11.35	100.0	0.0	2	2	2
45	6	16	0	7	3	0	120	84	0	False	hardshrink	11.35	100.0	0.0	2	2	2
46	6	16	0	7	3	0	200	100	0	True	hardshrink	11.35	100.0	0.0	2	2	2
47	6	16	0	7	3	0	200	100	0	False	hardshrink	11.35	100.0	0.0	2	2	2
